Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,100,280,277,293,298,315,271,324,"20,000%","9,80488","3,94","1,58"
TOTAL,100,280,277,293,298,315,271,324,"20,000%","9,80488","3,94","1,58"
