Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,100,281,279,286,294,332,272,356,"0,000%","9,79048","3,91","1,61"
TOTAL,100,281,279,286,294,332,272,356,"0,000%","9,79048","3,91","1,61"
