Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1000,300,280,290,302,1157,271,2429,"0,000%","94,34852","37,67","15,49"
TOTAL,1000,300,280,290,302,1157,271,2429,"0,000%","94,34852","37,67","15,49"
