Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10,283,283,286,286,288,278,288,"0,000%","1,07689","0,43","0,18"
TOTAL,10,283,283,286,286,288,278,288,"0,000%","1,07689","0,43","0,18"
