Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10,279,280,282,282,284,277,284,"20,000%","1,07747","0,43","0,17"
TOTAL,10,279,280,282,282,284,277,284,"20,000%","1,07747","0,43","0,17"
